body_type,sex,diet,transport_mode,vehicle_type,vehicle_monthly_km,daily_screen_hours,daily_internet_hours,heating_source,energy_efficient,air_travel_frequency,monthly_grocery_bill,waste_bags_per_week,carbon_emission_kg,screen_category
overweight,female,pescatarian,public,None,210,7,1,coal,No,frequently,230,4,2238,High Screen Time (>6h)
obese,female,vegetarian,walk/bicycle,None,9,9,5,natural gas,No,rarely,114,3,1892,High Screen Time (>6h)
overweight,male,omnivore,private,petrol,2472,14,6,wood,Sometimes,never,138,1,2595,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,74,20,7,wood,Sometimes,rarely,157,3,1074,High Screen Time (>6h)
obese,female,vegetarian,private,diesel,8457,3,6,coal,Yes,very frequently,266,1,4743,Low Screen Time (≤6h)
overweight,male,vegetarian,public,None,658,22,9,wood,Sometimes,frequently,144,1,1647,High Screen Time (>6h)
underweight,female,vegan,private,hybrid,5363,9,19,wood,Sometimes,rarely,56,4,1832,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,54,5,15,coal,No,very frequently,59,3,2322,Low Screen Time (≤6h)
overweight,male,omnivore,public,None,1376,3,15,wood,Yes,frequently,200,3,2494,Low Screen Time (≤6h)
underweight,female,pescatarian,public,None,440,8,18,wood,Sometimes,rarely,135,1,1178,High Screen Time (>6h)
normal,female,vegetarian,public,None,1561,12,21,wood,No,never,146,4,1427,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,69,9,4,coal,Sometimes,very frequently,111,5,3226,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,92,18,4,coal,Yes,rarely,114,3,1593,High Screen Time (>6h)
underweight,female,vegan,private,lpg,2893,13,10,electricity,Sometimes,rarely,111,6,1732,High Screen Time (>6h)
obese,male,pescatarian,public,None,1989,13,8,natural gas,No,rarely,123,6,1743,High Screen Time (>6h)
overweight,female,vegetarian,public,None,692,9,15,electricity,No,very frequently,225,6,2101,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,7,23,14,electricity,Sometimes,frequently,219,4,2609,High Screen Time (>6h)
overweight,female,pescatarian,public,None,948,1,22,wood,Yes,rarely,104,6,1565,Low Screen Time (≤6h)
underweight,male,vegan,private,petrol,7622,6,9,electricity,Sometimes,very frequently,126,2,5272,Low Screen Time (≤6h)
normal,female,omnivore,walk/bicycle,None,51,15,6,wood,No,never,288,4,1220,High Screen Time (>6h)
normal,male,vegan,private,electric,2237,0,5,electricity,No,rarely,282,6,1300,Low Screen Time (≤6h)
obese,female,pescatarian,public,None,1804,6,7,wood,No,rarely,69,1,1024,Low Screen Time (≤6h)
overweight,male,omnivore,walk/bicycle,None,85,14,3,wood,Sometimes,never,110,3,706,High Screen Time (>6h)
obese,male,vegetarian,private,diesel,472,17,20,coal,Yes,frequently,165,4,2582,High Screen Time (>6h)
overweight,male,vegan,private,diesel,5737,5,20,coal,Yes,very frequently,62,1,4284,Low Screen Time (≤6h)
obese,female,pescatarian,walk/bicycle,None,88,17,3,electricity,Sometimes,rarely,94,6,807,High Screen Time (>6h)
underweight,female,vegan,public,None,558,4,23,electricity,Sometimes,frequently,259,4,1991,Low Screen Time (≤6h)
obese,male,vegetarian,public,None,752,14,14,electricity,Sometimes,rarely,67,3,1817,High Screen Time (>6h)
obese,male,pescatarian,walk/bicycle,None,71,10,10,wood,No,rarely,130,2,1490,High Screen Time (>6h)
underweight,female,omnivore,public,None,1028,13,4,electricity,Yes,frequently,258,2,1561,High Screen Time (>6h)
obese,female,vegan,public,None,1527,23,10,wood,Yes,frequently,189,4,2202,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,88,24,15,coal,Sometimes,frequently,262,5,2024,High Screen Time (>6h)
normal,female,pescatarian,walk/bicycle,None,73,1,22,natural gas,No,frequently,157,4,1659,Low Screen Time (≤6h)
normal,female,pescatarian,private,lpg,8320,9,4,wood,Sometimes,very frequently,280,5,3911,High Screen Time (>6h)
normal,male,vegetarian,walk/bicycle,None,72,11,10,coal,Yes,never,121,6,1204,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,9,1,15,coal,Yes,very frequently,174,2,2431,Low Screen Time (≤6h)
obese,male,vegetarian,walk/bicycle,None,60,16,20,electricity,Sometimes,frequently,173,2,1640,High Screen Time (>6h)
underweight,male,vegan,walk/bicycle,None,13,17,15,natural gas,No,frequently,199,5,1648,High Screen Time (>6h)
underweight,male,omnivore,walk/bicycle,None,32,15,17,wood,Sometimes,rarely,94,6,1002,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,49,19,16,coal,Yes,frequently,64,1,1771,High Screen Time (>6h)
overweight,female,omnivore,public,None,1351,20,5,electricity,Yes,very frequently,100,1,2028,High Screen Time (>6h)
normal,female,vegetarian,public,None,1726,15,5,coal,No,very frequently,240,2,2540,High Screen Time (>6h)
underweight,female,omnivore,public,None,1021,14,10,electricity,No,never,245,7,1386,High Screen Time (>6h)
normal,female,pescatarian,walk/bicycle,None,62,22,11,coal,Sometimes,rarely,270,5,1679,High Screen Time (>6h)
overweight,male,omnivore,private,electric,9488,16,18,wood,Yes,very frequently,294,5,3141,High Screen Time (>6h)
normal,male,vegetarian,public,None,1037,0,24,wood,No,very frequently,87,4,2627,Low Screen Time (≤6h)
underweight,male,pescatarian,private,electric,9555,13,3,wood,Yes,never,209,2,1188,High Screen Time (>6h)
underweight,male,pescatarian,private,diesel,9031,1,5,electricity,Yes,never,124,5,3174,Low Screen Time (≤6h)
overweight,female,vegetarian,public,None,1461,19,12,natural gas,Sometimes,frequently,276,7,2327,High Screen Time (>6h)
overweight,female,vegan,walk/bicycle,None,39,22,9,wood,Yes,very frequently,90,3,1822,High Screen Time (>6h)
obese,female,vegan,private,diesel,5033,0,24,natural gas,No,never,136,6,2665,Low Screen Time (≤6h)
underweight,male,vegan,public,None,1065,22,7,electricity,Yes,frequently,246,4,2129,High Screen Time (>6h)
